Image Name,Original JSON,Updated JSON
1.2_image3.jpg,"{""metadata"": {""title"": ""Table 3.6.1 Institutional integration efforts in environment"", ""xaxis"": {""title"": ""Axis""}, ""yaxis"": {""title"": ""Percentage of countries""}}, ""data"": [{""name"": ""Separate environment website"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [90, 60, 80, 70, 50, 60]}, {""name"": ""National portal with environment section"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [60, 40, 50, 50, 10, 30]}, {""name"": ""Links to regional/local authorities"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [70, 40, 40, 40, 5, 10]}, {""name"": ""Information on international cooperation"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [90, 60, 70, 80, 20, 40]}]}","{""metadata"": {""title"": ""Table 3.6.1 Institutional integration efforts in environment"", ""xaxis"": {""title"": ""Axis""}, ""yaxis"": {""title"": ""Percentage of countries""}}, ""data"": [{""name"": ""Separate environment website"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [90, 60, 80, 70, 50, 60]}, {""name"": ""National portal with environment section"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [60, 40, 50, 50, 10, 30]}, {""name"": ""Links to regional/local authorities"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [70, 40, 40, 40, 5, 10]}, {""name"": ""Information on international cooperation"", ""x"": [""Europe"", ""Americas"", ""Asia"", ""World"", ""Oceania"", ""Africa""], ""y"": [90, 60, 70, 80, 20, 40]}]}",shflskdgjdfgdkf;ghk;dfjghsdfkgh;kdsg
1.2_image3.jpg,"{""metadata"": {""title"": ""Institutional integration efforts in environment"", ""xaxis"": {""title"": ""Axis""}, ""yaxis"": {""title"": ""Percentage""}}, ""data"": [{""name"": ""Europe"", ""y"": [90, 60, 70, 90], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Americas"", ""y"": [60, 40, 40, 60], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Asia"", ""y"": [80, 50, 40, 70], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""World"", ""y"": [70, 50, 40, 80], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Oceania"", ""y"": [50, 10, 5, 20], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Africa"", ""y"": [60, 30, 10, 40], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}]}","{""metadata"": {""title"": ""Institutional integration efforts in environment"", ""xaxis"": {""title"": ""Axis""}, ""yaxis"": {""title"": ""Percentage""}}, ""data"": [{""name"": ""Europe"", ""y"": [90, 60, 70, 90], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Americas"", ""y"": [60, 40, 40, 60], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Asia"", ""y"": [80, 50, 40, 70], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""World"", ""y"": [70, 50, 40, 80], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Oceania"", ""y"": [50, 10, 5, 20], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}, {""name"": ""Africa"", ""y"": [60, 30, 10, 40], ""x"": [""Separate environment website"", ""National portal with environment section"", ""Links to regional/local authorities"", ""Information on international cooperation""]}]}",shflskdgjdfgdkf;ghk;dfjghsdfkgh;kdsg
1.2_image3.jpg,"{'metadata': {'title': 'Institutional integration efforts in environment', 'xaxis': {'title': 'Axis'}, 'yaxis': {'title': 'Percentage'}}, 'data': [{'name': 'Separate environment website', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [90, 60, 80, 70, 50, 60]}, {'name': 'National portal with environment section', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [60, 40, 50, 50, 10, 30]}, {'name': 'Links to regional/local authorities', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [70, 40, 40, 40, 5, 10]}, {'name': 'Information on international cooperation', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [90, 60, 70, 80, 20, 40]}]}","{'metadata': {'title': 'Institutional integration efforts in environment', 'xaxis': {'title': 'Axis'}, 'yaxis': {'title': 'Percentage'}}, 'data': [{'name': 'Separate environment website', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [90, 60, 80, 70, 50, 60]}, {'name': 'National portal with environment section', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [60, 40, 50, 50, 10, 30]}, {'name': 'Links to regional/local authorities', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [70, 40, 40, 40, 5, 10]}, {'name': 'Information on international cooperation', 'x': ['Europe', 'Americas', 'Asia', 'World', 'Oceania', 'Africa'], 'y': [90, 60, 70, 80, 20, 40]}]}"
1.2_image4.jpg,"{'metadata': {'title': 'Life Satisfaction in Mexico', 'xaxis': {'title': 'Quarter'}, 'yaxis': {'title': 'Life Satisfaction'}}, 'data': [{'name': 'Free long distance calls', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q1', '2017 Q3', '2018 Q1', '2018 Q3'], 'y': [7.67, 7.93, 7.98, 8.12, 8.03, 8.03, 8.05, 8.09, 8.22, 8.22, 8.33]}, {'name': 'Gasolinazo (fuel prices)', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q3', '2018 Q3'], 'y': [8.03, 7.98, 8.05, 8.22, 8.33]}]}","{'metadata': {'title': 'Life Satisfaction in Mexico', 'xaxis': {'title': 'Quarter'}, 'yaxis': {'title': 'Life Satisfaction'}}, 'data': [{'name': 'Free long distance calls', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q1', '2017 Q3', '2018 Q1', '2018 Q3'], 'y': [7.67, 7.93, 7.98, 8.12, 8.03, 8.03, 8.05, 8.09, 8.22, 8.22, 8.33]}, {'name': 'Gasolinazo (fuel prices)', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q3', '2018 Q3'], 'y': [8.03, 7.98, 8.05, 8.22, 8.33]}]}"
1.2_image4.jpg,"{'metadata': {'title': 'Life Satisfaction in Mexico', 'xaxis': {'title': 'Quarter'}, 'yaxis': {'title': 'Free long distance calls'}}, 'data': [{'name': 'Free long distance calls', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q1', '2017 Q3', '2018 Q1', '2018 Q3'], 'y': [7.67, 7.93, 7.98, 8.12, 8.03, 8.03, 8.05, 8.09, 8.22, 8.22, 8.33]}, {'name': 'Gasolinazo', 'x': ['2017 Q1'], 'y': [8]}]}","{'metadata': {'title': 'Life Satisfaction in Mexico', 'xaxis': {'title': 'Quarter'}, 'yaxis': {'title': 'Free long distance calls'}}, 'data': [{'name': 'Free long distance calls', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q1', '2017 Q3', '2018 Q1', '2018 Q3'], 'y': [7.67, 7.93, 7.98, 8.12, 8.03, 8.03, 8.05, 8.09, 8.22, 8.22, 8.33]}, {'name': 'Gasolinazo', 'x': ['2017 Q1'], 'y': [8]}]}"
with_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
without_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}"
without_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}","{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate Over Time', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate Over Time', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
without_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}","{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Rate'}}, 'data': [{'name': 'Inflation', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Rate'}}, 'data': [{'name': 'Inflation', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate over Time', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate over Time', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate over time', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate over time', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
2024-06-13 15:35:26,with_label.jpg,"{""metadata"": {""title"": ""Inflation Rate by Month"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate (%)""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{""metadata"": {""title"": ""Inflation Rate by Month"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate (%)""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
2024-06-13 15:51:05,with_label.jpg,"{""metadata"": {""title"": ""Inflation Rate"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{""metadata"": {""title"": ""Inflation Rate"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}",18.999090433120728,0.0,6.157336950302124,Gemini Vision Pro,ChatGPT 3.5
2024-06-13 16:01:06,with_label.jpg,"{""metadata"": {""title"": ""Inflation Rate by Month"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{""metadata"": {""title"": ""Inflation Rate by Month"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}",13.692197322845459,0.0,0.1106252670288086,Gemini Vision Pro,ChatGPT 3.5
2024-06-13 16:24:43,with_label.jpg,"{""metadata"": {""title"": ""Inflation Rate"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate (%)""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{""metadata"": {""title"": ""Inflation Rate"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate (%)""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}",13.93684697151184,0.0,0.14683866500854492,Gemini Vision Pro,ChatGPT 3.5
2024-06-13 16:35:33,with_label.jpg,"{""metadata"": {""title"": ""Inflation Rate over Time"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{""metadata"": {""title"": ""Inflation Rate over Time"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}",12.540838241577148,0.0,0.05293869972229004,Gemini Vision Pro,ChatGPT 3.5
2024-06-13 16:44:50,with_label.jpg,"{""metadata"": {""title"": ""Inflation Rate over Time"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{""metadata"": {""title"": ""Inflation Rate over Time"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Inflation Rate""}}, ""data"": [{""name"": ""Inflation Rate"", ""x"": [""Oct-21"", ""Nov-21"", ""Dec-21"", ""Jan-22"", ""Feb-22"", ""Mar-22"", ""Apr-22"", ""May-22"", ""Jun-22"", ""Jul-22""], ""y"": [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","You are an expert in reading the line charts. You will be given a line chart and you have to represent the line chart in tabular format, adhering to the following guidelines:				
        1. The table's title will be derived from the chart's title. If no title is provided, it will be based on the labels of the x and y axes, or left as 'NA' if neither is available.				
        2. Identify the the labels on the x-axes and y-axes. If no label is provided name them according to your knowledge.				
        3. Identify the legends in the line chart and label them accordingly. If no legends are provided, they will be named as 'plot1', 'plot2', and so forth.				
        4. Only data points located directly on the x-axes will be considered.				
        5. Consider the steps size of the y-axes and estimate the value of the data point precisely.				
        6. For line charts with dual y-axes, determine whether the line plot corresponds to which y-axes, then extract the value of the data points accordingly.				
        7. Only add numerical values to the table, no units and characters. Example if the value of the data point is 10% then write only 10 in the table.
        8. If there is only one line consider it as a single plot and any different color point on the line as special marker
        ",13.99599552154541,0.0,0.04949307441711426,Gemini Vision Pro,ChatGPT 3.5
